ID;Code;Nom;Coordinates;Description;Zone ID;URL;Location Type;Parent Station ID;Timezone;Wheelchair Boarding
ARCOM@FLU020;;Fleury Château d'Eau;49.152176,-0.371303;;;;1;;;0
COM_monu01;;Monument;49.15749,-0.336624;;;;1;;;0
ARCOM@C100;;Théâtre Quai 2;49.180676,-0.362459;;;;1;;;0
COM_corfre02;;La Fresnaye;49.154633,-0.327777;;;;1;;;0
COM_indu01_1;;Industrie;49.157436,-0.326407;;;;1;;;0
COM_egou02;;Ouistreham Eglise;49.27665,-0.256966;;;;1;;;0
COM_rlec01_1;;Cayrière;49.254814,-0.377343;;;;1;;;0
COM_lmhl01;;Haut Lion;49.301342,-0.326391;;;;1;;;0
COM_pabl02;;Paitis Blancs;49.127033,-0.38365;;;;1;;;0
COM_rofr02;;Rostand Fresnel;49.16209,-0.354139;;;;1;;;0
ARCOM@C018;;Poincaré;49.165466,-0.342738;;;;1;;;0
COM_lmp02;;Lion Plage;49.305897,-0.324109;;;;1;;;0
COM_mlk01;;Martin Luther King;49.134964,-0.288533;;;;1;;;0
COM_ecco22_1;;Colombelles Ecole;49.203396,-0.302833;;;;1;;;0
COM_psld01;;Périers Mairie;49.257477,-0.339356;;;;1;;;0
COM_frat01;;Fraternité;49.206017,-0.288265;;;;1;;;0
COM_bist01;;Biéville Stade;49.243595,-0.333515;;;;1;;;0
COM_rimb02;;Rimbaud;49.208996,-0.290388;;;;1;;;0
COM_bbrh01;;Rue du Home;49.245586,-0.330484;;;;1;;;0
COM_hmbb01;;Blanc Bois;49.28025,-0.315435;;;;1;;;0
COM_masa01;;Saint-Aubin Mairie;49.2607,-0.286888;;;;1;;;0
COM_ougl02;;Général Leclerc;49.282047,-0.255707;;;;1;;;0
COM_stou;;Saint-Ouen;49.17392,-0.377955;;;;1;;;0
COM_cipa01;;Cimetiere Parc;49.19628,-0.405;;;;1;;;0
COM_creu01;;Creully;49.190884,-0.373511;;;;1;;;0
ARCOM@C2008;;Collège Moulin;49.181137,-0.408286;;;;1;;;0
ARCOM@STC022;;Arromanches;49.218212,-0.420028;;;;1;;;0
COM_rleb01_1;;Rue de Lebisey;49.192852,-0.357196;;;;1;;;0
COM_euva02;;Eugène Varlin;49.200386,-0.301418;;;;1;;;0
COM_chal02_1;;Charlemagne;49.17298,-0.399557;;;;1;;;0
COM_rega01;;Egalité;49.207317,-0.295195;;;;1;;;0
COM_esta02_1;;Estapi;49.2151,-0.405291;;;;1;;;0
COM_rtpa02;;Route de Paris;49.17008,-0.324005;;;;1;;;0
COM_podo02;;Poilus d'Orient;49.185143,-0.382924;;;;1;;;0
COM_mabr02;;Bretteville Mairie;49.165756,-0.418089;;;;1;;;0
COM_lbij12;;Bijude Commerces;49.22915,-0.372301;;;;1;;;0
COM_grcl02_1;;Grand Clos;49.212296,-0.405079;;;;1;;;0
COM_grpl01;;Grande Rue;49.180626,-0.306939;;;;1;;;0
COM_made02_1;;Mandela;49.186054,-0.300697;;;;1;;;0
COM_coto01;;Cotonnière;49.197865,-0.401417;;;;1;;;0
COM_coqu02_1;;Coquelicots;49.2188,-0.367413;;;;1;;;0
COM_pepi02;;Pépinières;49.24073,-0.403785;;;;1;;;0
COM_stcbu;;Buron;49.217335,-0.420993;;;;1;;;0
COM_camb01;;Le Parc;49.23585,-0.386256;;;;1;;;0
COM_ruene01_1;;Energie;49.216515,-0.369737;;;;1;;;0
COM_char02;;Molière;49.192505,-0.393655;;;;1;;;0
COM_cacc02_2;;Campus 2 C. Commercial;49.209503,-0.36724;;;;1;;;0
COM_clss01;;Collège Senghor;49.13577,-0.350641;;;;1;;;0
COM_orgo02_1;;Orée du Golf;49.221527,-0.366462;;;;1;;;0
COM_msol02;;Soliers Mairie;49.134956,-0.295493;;;;1;;;0
COM_lbru02;;La Bruyère;49.14353,-0.493091;;;;1;;;0
ARCOM@C010;;Gare SNCF;49.175663,-0.34922;;;;1;;;0
COM_zimo01;;Mondeville ZI;49.16501,-0.309529;;;;1;;;0
COM_epron;;Epron Mairie;49.22314,-0.371021;;;;1;;;0
COM_leme02_1;;Le Méridien;49.190918,-0.392028;;;;1;;;0
ARCOM@C035;;Demi-Lune;49.17451,-0.33926;;;;1;;;0
COM_poas02;;Collège Monod;49.205917,-0.378756;;;;1;;;0
COM_fadr01;;Fac de Droit;49.19023,-0.366787;;;;1;;;0
COM_stoc01;;Stockholm;49.188595,-0.389689;;;;1;;;0
COM_etri01_1;;Etrier;49.193333,-0.369612;;;;1;;;0
